iter	Passed	Remaining
477	733	800
478	734	798
479	734	796
480	737	795
481	738	793
482	739	791
483	740	789
484	740	786
485	741	784
486	742	782
487	743	780
488	744	778
489	745	775
490	746	773
491	747	771
492	748	769
493	748	767
494	750	765
495	752	764
496	752	762
497	754	760
498	755	758
499	755	755
500	756	753
501	757	751
502	758	749
503	759	747
504	759	744
505	760	742
506	761	740
507	762	738
508	763	736
509	763	733
510	764	731
511	766	730
512	767	728
513	768	726
514	769	724
515	769	722
516	770	719
517	771	717
518	772	715
519	773	713
520	773	711
521	774	709
522	775	707
523	776	705
524	777	703
525	777	701
526	778	698
527	779	696
528	781	696
529	782	693
530	783	691
531	784	689
532	784	687
533	785	685
534	786	683
535	787	681
536	788	679
537	788	677
538	789	675
539	790	673
540	791	671
541	792	669
542	793	667
543	793	665
544	794	663
545	796	662
546	797	660
547	799	659
548	800	657
549	802	656
550	803	654
551	804	652
552	805	650
553	805	648
554	806	646
555	807	644
556	808	642
557	809	640
558	811	639
559	811	637
560	812	635
561	813	634
562	814	632
563	815	630
564	815	628
565	816	626
566	817	624
567	818	622
568	819	620
569	819	618
570	820	616
571	821	614
572	822	612
573	823	610
574	824	609
575	825	608
576	826	606
577	827	604
578	828	602
579	829	600
580	830	598
581	831	596
582	831	595
583	832	593
584	833	591
585	834	589
586	835	587
587	835	585
588	836	583
589	837	581
590	838	580
591	839	578
592	840	577
593	841	575
594	842	573
595	843	571
596	844	569
597	845	568
598	845	566
599	846	564
600	847	562
601	848	560
602	849	559
603	850	557
604	850	555
605	851	553
606	852	552
607	853	550
608	854	548
609	855	547
610	856	545
611	857	543
612	858	541
613	859	540
614	859	538
615	860	536
616	861	534
617	862	533
618	863	531
619	864	529
620	864	527
621	865	526
622	866	524
623	867	522
624	868	520
625	869	519
626	870	517
627	871	516
628	872	514
629	873	512
630	873	511
631	874	509
632	875	507
633	876	505
634	877	504
635	877	502
636	878	500
637	879	499
638	880	497
639	881	495
640	881	493
641	882	492
642	884	491
643	885	489
644	886	488
645	887	486
646	888	485
647	889	483
648	891	481
649	891	480
650	892	478
651	893	476
652	894	475
653	895	473
654	896	471
655	896	470
656	897	468
657	899	467
658	900	465
659	901	464
660	902	462
661	902	460
662	903	459
663	904	457
664	905	456
665	906	454
666	906	452
667	907	451
668	908	449
669	909	447
670	910	446
671	910	444
672	911	442
673	912	441
674	914	440
675	915	438
676	915	437
677	916	435
678	917	433
679	918	432
680	919	430
681	920	429
682	920	427
683	921	425
684	922	424
685	923	422
686	924	421
687	924	419
688	925	417
689	926	416
690	927	414
691	929	413
692	930	412
693	930	410
694	931	408
695	932	407
696	933	405
697	934	404
698	935	402
699	936	401
700	937	399
701	938	398
702	938	396
703	939	395
704	940	393
705	941	392
706	942	390
707	943	389
708	944	387
709	945	386
710	946	384
711	947	383
712	948	381
713	948	380
714	949	378
715	950	377
716	951	375
717	952	374
718	953	372
719	953	370
720	954	369
721	955	367
722	956	366
723	957	364
724	958	363
725	959	362
726	960	360
727	961	359
728	962	357
729	962	356
730	963	354
731	964	353
732	965	351
733	966	350
734	966	348
735	967	347
736	968	345
737	969	344
738	970	342
739	971	341
740	971	339
741	973	338
742	974	337
743	975	335
744	976	334
745	977	332
746	978	331
747	978	329
748	979	328
749	980	326
750	981	325
751	982	323
752	982	322
753	983	320
754	984	319
755	985	318
756	986	316
757	986	315
758	988	313
759	989	312
760	990	311
761	991	309
762	992	308
763	993	307
764	994	305
765	995	304
766	997	302
767	998	301
768	999	300
769	1000	298
770	1001	297
771	1004	296
772	1005	295
773	1006	293
774	1007	292
775	1008	291
776	1009	289
777	1010	288
778	1011	287
779	1013	285
780	1014	284
781	1015	283
782	1016	281
783	1019	280
784	1020	279
785	1022	278
786	1023	276
787	1024	275
788	1025	274
789	1026	272
790	1027	271
791	1028	270
792	1029	268
793	1030	267
794	1031	266
795	1033	264
796	1034	263
797	1035	262
798	1036	260
799	1037	259
800	1039	258
801	1040	256
802	1041	255
803	1042	254
804	1043	252
805	1044	251
806	1045	250
807	1046	248
808	1049	247
